Sl no,Division,District,Sale of INDIAN MADE LIQUOR ( carton Box) 2015-16,% Growth,2016-17,% Growth,2017-18,% Growth,2018-19,% Growth,2019-20,% Growth,2020-21  ,% Growth
1,BANGALORE DIVISION 1(a),BANGALORE  (EAST),2629508,2.66,2693221,2.42,2698733,0.2,2747944,1.82,2839442,3.33,2420730,-14.75
2,BANGALORE DIVISION 1(b),BANGALORE  (WEST),2898008,2.13,2936930,1.34,2933885,-0.1,2937324,0.12,3066641,4.4,2671900,-12.87
3,BANGALORE DIVISION 1(c ),BANGALORE  (NORTH),2924837,3.04,2985891,2.09,3025377,1.32,3125007,3.29,3280991,4.99,2924067,-10.88
4,BANGALORE DIVISION 1(d),BANGALORE  (SOUTH),3512962,4.36,3644085,3.73,3740016,2.63,3903414,4.37,4109590,5.28,3503046,-14.76
5,BANGALORE DIVISION ,BANGALORE URBAN,11965315,3.12,12260127,2.46,12398011,1.12,12713689,2.55,13296664,4.59,11519743,-13.36
6,BANGALORE DIVISION ,BANGALORE RURAL,1250705,0.62,1233029,-1.41,1243528,0.85,1286382,3.45,1352573,5.15,1268308,-6.23
7,BANGALORE DIVISION ,CHIKKABALLAPURA  ,1150792,1.28,1169022,1.58,1175856,0.58,1159885,-1.36,1275399,9.96,1439213,12.84
8,BANGALORE DIVISION ,KOLAR,1293969,-0.28,1284891,-0.7,1321347,2.84,1334220,0.97,1559202,16.86,1992544,27.79
9,BANGALORE DIVISION ,RAMANAGARA  ,1276939,1.17,1309710,2.57,1320401,0.82,1330634,0.77,1378436,3.59,1317710,-4.41
10,BANGALORE DIVISION ,TUMKUR,2471554,0.31,2423973,-1.93,2492794,2.84,2487354,-0.22,2747297,10.45,2878408,4.77
11,BANGALORE DIVISION ,TOTAL,19409274,2.12,19680752,1.4,19951937,1.38,20312164,1.81,21609571,6.39,20415926,-5.52
12,BELGAUM DIVISION ,BAGALKOTE,1155374,3.55,1092328,-5.46,1103894,1.06,1141971,3.45,1202805,5.33,1191126,-0.97
13,BELGAUM DIVISION ,BELGAUM,2975173,1.59,2859577,-3.89,3001047,4.95,3042071,1.37,3213713,5.64,3095757,-3.67
14,BELGAUM DIVISION ,BIJAPUR,1188019,2.23,1150296,-3.18,1218758,5.95,1216728,-0.17,1275876,4.86,1314729,3.05
15,BELGAUM DIVISION ,DHARWAD,1381164,-0.41,1367167,-1.01,1366466,-0.05,1420931,3.99,1466284,3.19,1399343,-4.57
16,BELGAUM DIVISION ,HAVERI,1209599,-0.16,1184064,-2.11,1148779,-2.98,1114290,-3,1167597,4.78,1163765,-0.33
17,BELGAUM DIVISION ,TOTAL,7909329,1.34,7653432,-3.24,7838944,2.42,7935991,1.24,8326275,4.92,8164720,-1.94
18,GULBARGA DIVISION ,BIDAR,1043721,1.97,1044188,0.04,1115260,6.81,1111575,-0.33,1169715,5.23,1158074,-1
19,GULBARGA DIVISION ,GULBARGA,1673303,-0.44,1619786,-3.2,1681802,3.83,1677148,-0.28,1676214,-0.06,1716187,2.38
20,GULBARGA DIVISION ,RAICHUR,1382519,-6.6,1275557,-7.74,1357282,6.41,1329881,-2.02,1433741,7.81,1617382,12.81
21,GULBARGA DIVISION ,YADGIRI ,723439,-0.41,681794,-5.76,702845,3.09,699841,-0.43,740015,5.74,721400,-2.52
22,GULBARGA DIVISION ,TOTAL,4822982,-1.79,4621325,-4.18,4857189,5.1,4818445,-0.8,5019685,4.18,5213043,3.85
23,HOSPET DIVISION ,BELLARY,1999052,-4.85,1939098,-3,1868095,-3.66,1964338,5.15,2237236,13.89,2567093,14.74
24,HOSPET DIVISION ,CHITRADURGA,1508411,0.68,1379512,-8.55,1359213,-1.47,1404359,3.32,1532386,9.12,1667357,8.81
25,HOSPET DIVISION ,DAVANGERE,1844147,1.52,1766912,-4.19,1717835,-2.78,1705611,-0.71,1705093,-0.03,1501377,-11.95
26,HOSPET DIVISION ,GADAG,731558,-2.41,707955,-3.23,696692,-1.59,715737,2.73,783740,9.5,782410,-0.17
27,HOSPET DIVISION ,KOPPAL,1038824,-1.8,970120,-6.61,932558,-3.87,972914,4.33,1049636,7.89,1092253,4.06
28,HOSPET DIVISION ,TOTAL,7121992,-1.4,6763597,-5.03,6574393,-2.8,6762959,2.87,7308091,8.06,7610490,4.14
29,MANGLORE DIVISION ,DAKHSINA KANNADA,2611455,1.21,2599579,-0.45,2580383,-0.74,2526222,-2.1,2518993,-0.29,2281967,-9.41
30,MANGLORE DIVISION ,KODAGU,1088549,7.54,1038367,-4.61,1035571,-0.27,989964,-4.4,997113,0.72,884741,-11.27
31,MANGLORE DIVISION ,SHIMOGA,1788551,-1.61,1800747,0.68,1849209,2.69,1815081,-1.85,1884810,3.84,1795432,-4.74
32,MANGLORE DIVISION ,UDUPI,1508201,1.17,1492036,-1.07,1487745,-0.29,1446084,-2.8,1479608,2.32,1367644,-7.57
33,MANGLORE DIVISION ,UTTARA KANNADA,902176,1.92,912841,1.18,941569,3.15,942077,0.05,996326,5.76,937181,-5.94
34,MANGLORE DIVISION ,TOTAL,7898932,1.45,7843570,-0.7,7894477,0.65,7719428,-2.22,7876850,2.04,7266965,-7.74
35,MYSORE DIVISION ,CHAMARAJANAGARA,883779,0.54,886097,0.26,877850,-0.93,905912,3.2,942491,4.04,918161,-2.58
36,MYSORE DIVISION ,CHICKMAGALUR,1643705,5.69,1581936,-3.76,1547992,-2.15,1542292,-0.37,1566910,1.6,1490459,-4.88
37,MYSORE DIVISION ,HASSAN,2267827,2.54,2267347,-0.02,2278328,0.48,2237637,-1.79,2383048,6.5,2396060,0.55
38,MYSORE DIVISION ,MANDYA,1799316,2.61,1665423,-7.44,1731262,3.95,1777373,2.66,1886611,6.15,1851371,-1.87
39,MYSORE DIVISION ,MYSORE,2921604,2.17,2891674,-1.02,2933437,1.44,2980124,1.59,3172517,6.46,2996330,-5.55
40,MYSORE DIVISION ,TOTAL,9516231,2.78,9292477,-2.35,9368869,0.82,9443338,0.79,9951577,5.38,9652381,-3.01
41,MYSORE DIVISION ,GRAND TOTAL,56678740,1.23,55855153,-1.45,56485809,1.13,56992325,0.9,60092049,5.44,58323525,-2.94
